,eventName,subEventName,When is it generated,Status,Event Desc (JSON),Generator (enum),eventId,botId | uuid,userId | uuid,orgId | uuid,conversationId | uuid,messageId | uuid,audioFileName | string,audioUrl | url,audioId | uuid,text | string,mediaIds | array,spellCorrectedText | string,error | string,timeTaken | number,spellCheckTimeTaken | number,phoneNumber | string,createdAt | unix-time,queryId | uuid,did | string,userManagementUrl | string,textInEnglish | string,coreferencedText | string,block | string,district | string,queryClass | string,NER | json,similarChunks | json,responseInEnglish | string,response | string,feedback | string,reaction | number,timesAudioUsed | number,outputText | string,errorRate | number,schemaId | uuid,datasetId | uuid,question | string,field|string,threshold | number,sqlQuery | string,result | json,documentId | array,requestId | uuid,eventLog | string,transformerId | string,language | string,prompt | json,translatedResponse | string,streamStartLatency | number,reactionType | string,reactionText | string,userHistory | string
19,,userQuery,XMessage to raw message conversion failed,New Data,,Inbound,E019,Required,Required,Required,Required,Required,,,,Optional,Optional,,,,,,Required,,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,userQuery,Raw message conversion to XMessage failed,New Data,,Inbound,E020,Required,,Required,Optional,Optional,,,,Optional,Optional,,,,,,Required,,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,userQuery,A registration request was sent to the bot,New Data,,Inbound,E021,Required,,Required,Required,Required,,,,Optional,Optional,,,,,,Required,,Required,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,userQuery,A registration request failed,New Data,,Inbound,E022,Required,,Required,Required,Required,,,,Optional,Optional,,,,,,Required,,Required,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,reactionEvent,A user sent a feedback on a message,New Data,,Inbound,E023,Required,,Required,Optional,Required,,,,,,,,,,,,,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Required,Optional,
24,,userQuery,User read the message sent by a bot,New Data,,Inbound,E024,Required,,Required,Required,Required,,,,Optional,Optional,,,,,,Required,,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,AI-Tools,userQuery,On return of this API call,,,AI-Tools-Proxy,E025,Optional,Optional,Optional,Optional,Optional,,Required,Optional,Required,,,Optional,Required,,,Optional,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,userQuery,On return of this API call,,,AI-Tools-Proxy,E026,Optional,Optional,Optional,Optional,Optional,,Required,Optional,Required,,,Optional,Required,,,Optional,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,translate,On return of this API call,,,AI-Tools-Proxy,E027,Optional,Optional,Optional,Optional,Optional,,,,Required,,,Optional,Required,,,Optional,Optional,,,,,,,,,,,,,,,Required,,,,,,,,,,,,,,,,,,,
28,,transliterate,On return of this API call,,,AI-Tools-Proxy,E028,Optional,Optional,Optional,Optional,Optional,,,,Required,,,Optional,Required,,,Optional,Optional,,,,,,,,,,,,,,,Required,,,,,,,,,,,,,,,,,,,
29,datasetInjestion,translationDictionary,migration of data,,,dataset-service,E029,Required,,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,officials,migration of data,,,dataset-service,E030,Required,,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,documentService,document,migration of data,,,document-service,E031,Required,,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,messageQuery,messageSent,When user sends a message (send phoneNumber also),,,<PWA>,E032,Required,Required,Required,Required,Required,,,,Required,,,Optional,,,Optional,Required,,,,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,messageReceived,When user receives back a response for sent message,,,<PWA>,E033,Required,Required,Required,Required,Required,,,,Required,,,Optional,Required,,Optional,Requried,,,,Optional,,,,,,,Optional,,,,,,,,,,,,,,,,,,,,,,,,
34,search,fuzzy search,On return of this API call,,,dataset-service,E034,Required,,Required,Optional,Optional,,,,,,,Optional,Required,,,,,,,,,,,,,,,,,,,,,,Required,Required,Required,Required,,Required,,Optional,,,,,,,,,
35,,vector search,On return of this API call,,,dataset-service,E035,Required,,Required,Optional,Optional,,,,,,,Optional,Required,,,,,,,,,,,,,,,,,,,,,,Required,Required,Required,,,Required,,Optional,,,,,,,,,
36,,execute-query ,On return of this API call,,,dataset-service,E036,Required,,Required,Optional,Optional,,,,,,,Optional,Required,,,,,,,,,,,,,,,,,,,,,,Required,,,,Required,Required,,Optional,,,,,,,,,
37,Data Insertion,create schema,On return of this API call,,,dataset-service,E037,Required,,Required,Optional,Optional,,,,,,,Optional,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optional,,,,,,,,,
38,,insertDataset,On return of this API call,,,dataset-service,E038,Required,,Required,Optional,Optional,,,,,,,Optional,Required,,,,,,,,,,,,,,,,,,,,,Required,,,,,,,,Optional,,,,,,,,,
39,documentService,upload,On return of this API call,,,document-service,E039,Required,,Required,Optional,Optional,,,,,,,Optional,Optional,,,,,,,,,,,,,,,,,,,,,,,Required,,,,Required,Optional,Optional,,,,,,,,,
40,,retrieve,On return of this API call,,,document-service,E040,Required,,Required,Optional,Optional,,,,,,,Optional,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,Required,,,,,,,,,,,,
41,Transformer Execution ,DEFAULT_TRANSFORMER_START_EVENT,When the transformer execution begins  ,,,Transformer,E041,Required,,Required,,Required,,,,,,,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Required,,,,,,,
42,,DEFAULT_TRANSFORMER_END_EVENT,When the transformer execution completes,,,Transformer,E042,Required,,Required,,Optional,,,,,,,Optional,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Required,,,,,,,
43,userQuery,detectLanguage,,,,Transformer,E043,Required,,Required,Optional,Optional,,,,,,,,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Required,,,,,,
44,micAction,micTap,When user taps on mic to speak something,New Data,,<PWA>,E044,Required,Required,Required,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,aiToolProxyToolLatency,t2sLatency,Time taken by T2S API,,,<PWA>,E045,Required,Required,Required,Required,Required,,Optional,,Required,,,Optional,Required,,,Requried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,s2tLatency,Time taken by S2T API,,,<PWA>,E046,Required,Required,Required,Required,Required,,,,Optional,,,Optional,Required,,,Requried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,detectedLatency,Time taken in detecting latency,,,AI-Tools-Proxy,E047,Required,Required,Required,Optional,Required,,,,Required,,,,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optional,,,,,,
